大细辛 　　马蹄细辛 苕叶细辛
大阳关 　　 棠菊
土牛膝 　　 倒钩草 倒梗草
栗寄生 　　柃寄生 螃蟹脚 吊兰 胡龙须 方叶子
败火草 　　 小黄馨 常春小黄馨 火炮子
马兜铃 　　水马香果 蛇参果 三角草 秋木香罐
吊灯花 　　 吊灯扶桑 吊篮花 风铃扶桑花
牛奶子 　　 剪子果 甜枣 麦粒子
团叶鳞始蕨 　　 团叶陵齿蕨 圆叶鳞始蕨
莲衣 　　为莲皮
云防风 　　 竹叶防风 鸡脚暗哨 鸡足防风 西防风
水飞蓟 　　 奶蓟 老鼠筋 水飞雉
白猪母菜 　　 白胶墙 马齿苋 六月雪 鱼鳞菜 白咬墙 瓜子菜 白鱼鳞菜 白花鱼鳞菜 蛇鳞菜 白老鼠耳
婆罗门参 　　西洋牛蒡
婆罗门参 　　 土泡参 绿芨
白僵蚕 　　 僵蚕 僵天虫 虫
连翘归尾煎 　　 连翘归尾煎
苘麻子 　　青麻子 野棉花子 白麻子 青麻 白麻
大叶藻 　　 海带 海马蔺 海草 海带
木香分气汤 　　小流气饮
青葙 　　草蒿 萋蒿 昆仑草 百日红 鸡冠苋 鸡冠子菜
八将丹 　　八将散
铅霜 　　 铅白霜 玄白 玄霜 水银霜 铅糖
人面子 　　 人面树 银莲果 为漆树科
枕中丸 　　 金龟
矩形叶鼠刺 　　鸡骨柴 牛皮桐 老茶王 华鼠刺
千日红 　　 百日红 火球花  苋科
石蟾蜍 　　 瓜蒌
八物参术丸 　　八物定志丸 八味定志丸 八物远志丸
麦门冬五膈下气丸 　　 含化麦门冬丸 麦门冬丸 五膈下气丸
天文草 　　山天文草 雨伞草 大黄花
软骨散 　　 软骨散
败铜散 　　 败铜散
庐山瓦韦 　　七星草 骨牌草
狗筋蔓 　　 白牛膝 抽筋草 筋骨草
海韭菜 　　那冷门
徐长卿 　　鬼督邮
紫薇花 　　 痒痒花 痒痒树 紫金花 紫兰花 蚊子花 西洋水杨梅 百日红 无皮树
竹叶椒 　　 狗花椒 花胡椒 搜山虎 野花椒 臭花椒 三叶花椒 山胡椒 玉椒 山花椒 鸡椒 白总管 万花针 岩椒
仙人掌 　　仙巴掌 观音掌 霸王 火掌
白蔻 　　 多骨 壳蔻 白豆蔻 白蔻仁 豆蔻
三味吐散 　　人参散 三味瓜蒂散
仙人掌 　　仙巴掌 观音掌 霸王树 龙舌
落霜红 　　 猫秋子草 毛仔树
落霜红 　　 细叶冬青 小叶冬青 细毛全冬
娑罗子 　　苏罗子 棱罗子 开心果
宜昌荚蒾 　　 野绣球 糯米条子 对节木 假宜昌荚蒾 苦索花 啮蚀荚蒾 糯条条 蚀齿荚蒾 小叶荚蒾 羊屎子树 宜昌荚迷
琴唇万带兰 　　松兰
牛蒡根 　　恶实根 鼠粘根 牛菜 桔梗目
妙应散 　　 妙应散
黄石脂 　　黄符
土丁桂 　　 毛辣花 白鸽草 白毛将 白头妹 过饥草 毛将军 银花草 暴臭蛇 烟油花
立止散 　　 立止散
白常山 　　大叶土常山 大叶老鼠竹 硬毛绣球 癞疠树 白常山 白花常山 鸡跨裤
香榧草 　　香榧草
酒瓶花 　　 小杜鹃酒瓶花 亮毛杜鹃
蓝花龙胆 　　 丝柱龙胆 邦见莪那
丁香油 　　叫紫丁香 愁客 百结花 华北丁香
石螃蟹 　　 异叶楼梯草
榧子 　　 香榧 赤果 野极子 榧实 罴子 彼子 玉山果 玉榧
沙糖膏 　　 沙糖膏
仙鹤草 　　脱力草 瓜香草 老牛筋 狼芽草
量天尺花 　　 霸王花 剑花 韦陀花 天尺花 龙骨花 七星剑花
山紫菀 　　硬紫菀 土紫菀 蹄叶紫菀 马蹄紫菀
一支箭 　　青藤 蛇咬子
辣椒 　　 牛角椒 长辣椒 菜椒 灯笼椒
补肺汤 　　清金汤
红筷子 　　糯芋 遍山红 柳叶菜科 柳兰属
薏苡仁 　　 米仁 六谷 川谷 菩提子
四石汤 　　 四石汤
红叶树 　　 翁仔树 羊屎果 倒拉锯 羊咪屎 万打棍 羊仔屎
土荆芥 　　红泽蓝 天仙草 臭草 钩虫草 虱子草
乌金丹 　　水杨梅 路边青 三七红
细辛 　　 华细辛 盆草细辛
木兰花 　　玉树 望春 白玉兰 迎春 应春 玉堂春 辛夷 林兰 桂兰 杜兰 木莲 木笔 黄心 紫玉兰 女郎花
淡竹壳 　　淡竹箨
无患子 　　 木患子 油患子 苦患树 黄目树 目浪树 油罗树 洗手果 搓目子 假龙眼 鬼见愁
四照花 　　 山荔枝 石枣科
补胃汤 　　 补胃煮散
化癖如神散 　　 化癖如神散
虎肚散 　　 虎肚散
软金丸 　　 软金丸
水仙花 　　金盏银台 花如其名 绿裙 青带
回生再造饮 　　回春再造丹 回春再造散
鸡肾草 　　裂瓣玉凤花 鸡肾草扇叶舌喙兰 独叶一支花 无柄一叶兰 雨流星草 鸡肾参 一面锣
淫羊藿根 　　羊藿根
假蒟 　　 哈蒟 毕拨子 蛤药 酿苦瓜 封口好 毕拨子 假荖 蛤荖 假蒌 猪拨菜 蛤蒌 山蒌 大柄蒌马蹄蒌 荜拨 巴岩香
地膜香 　　地椒
心叶风毛菊 　　山芍药 马蹄细辛 水葫芦 山牛蒡
岩酸 　　独牛 酸杆杆 一面锣 岩丸子 石鼓子 一口血
白屈菜 　　 地黄连 牛金花 土黄连 八步紧 断肠草 山西瓜 雄黄草 山黄连 假黄连 小野人血草 黄汤子 胡黄连 小黄连
香薷 　　 水荆芥 臭荆芥 野苏麻 昂给鲁木-其其格 半边花 半边苏 边支花 边枝花 臭藿香 臭香麻 德昌香薷 风耳草 鸡冠香薷 荆芥 拉拉香 蜜蜂草 排香草 偏头草 青龙刀 山苏子 水芳花 铁杆禾 土香薷 退色香薷 香菜 香草 香茹 香薷草 小荆芥 小叶苏于 小叶苏子 野藿香 野香薷 野香苏 野鱼香 野芝麻 野紫苏 鱼香菜 坝子菜 板刷花 臭荆芥青龙才 火麻草 蚂蝗痧 石香薷 铜草花 土地香薷 兔尾巴 香藿 香戎 香茸 香葇 小叶巴蒿 野芭子 野坝蒿 野坝子 野荏子 野苏子 紫花香菜 紫香薷
铁篱笆 　　企头簕 雄虎刺 蒴藋 接骨草 排风藤 臭草 苛草 英雄草 走马箭 排风草 枸橘李 枳壳苗
使君子 　　 舀求子 史君子 四君子
催乳藤 　　奶汁藤 全国中
土一 　　 四十一号离象方
莕菜 　　水荷叶 睡菜科 荇菜科
毛五加皮 　　 红毛五加皮 刺五甲 刺甲皮
大金牛草 　　田七 三七
拔毒七宝散 　　七宝散
单花鸢尾子 　　 乌努钦－查黑乐得格 窄叶单花鸢尾
