大细辛 　　马蹄细辛 苕叶细辛
胡颓子 　　 蒲颓子 半含春 卢都子 雀儿酥 甜棒子 牛奶子根 石滚子 四枣 半春子 柿模 三月枣 羊奶子
红景天 　　 蔷薇红景天 扫罗玛布尔
豹药藤 　　 川白前 西川鹅绒藤
巴戟天饮 　　巴戟天汤 巴戟汤
桃金娘 　　 哆尼 岗菍 山菍 多莲 当梨根 稔子树 豆稔 仲尼 乌肚子 桃舅娘 当泥
鹿茸 　　 黄毛茸
桃金娘 　　 金丝桃 山稔子 山菍 多莲 豆稔干 稔果 多奶 山多奶 苏园子 石榴子 白碾子 岗稔 水刀莲 乌肚子 当梨子 哆哞仔 稔子
水红花子 　　水荭子 荭草实 河蓼子 川蓼子 水红子
山乌龟 　　地不容 防己科 金藤属
山乌龟 　　地不容 金不换
川谷根 　　必提珠根 尿珠子根 五谷子根 数珠子根 打碗子根 野薏米根
细叶野牡丹 　　 山公榴 铺地莲 棯  水社野牡丹
鹩哥舌 　　 鹩哥利 鸟舌草
南粤马兜铃 　　 侯氏马兜铃 汪喉和 雅布伦
大巢菜 　　 薇 薇菜 大巢菜 山扁豆 山木樨
金荞麦 　　苦荞麦 荞麦当归 荞麦三七 金锁银开 贼骨头 铁拳头 土茯苓  野南荞
中国人丹 　　仁丹 人丹
生地黄汤 　　生地黄汤 地黄汤
虫蚁菜 　　张麻 止血草
云母丸 　　 云母丸
法罗海 　　 发罗海 法罗梅 土川芎 法落海 法落梅 骚独活 红独活 白独活 小独活 红法罗海 臭法罗海
胡燕卵 　　金腰燕 胡燕
二宝丹 　　八二丹
粗梗黄堇 　　 粗荚黄堇 马尾黄连 土黄连
八风防风散 　　防风散
蜂蝇 　　 花虻 食蚜蝇门 节肢动物门纲 昆虫纲目 双翅目科 食蚜蝇科
乌雌鸡切面羹 　　 乌雌鸡切面羹
利格汤 　　 利格汤
化虫消毒丸 　　 化虫消毒丸
紫苏梗 　　 紫苏茎 苏梗 紫苏杆
防已 　　很多 如汉防已 木防已 小防己 粉防已 广防己 粉寸已
大菟丝子散 　　 大菟丝子散
天台乌药散 　　乌药散
红背桂 　　油公子 牛筋子
叶下红 　　 叶下红 江南野海棠 大毛蛇 血还魂 还魂红 沙崩草 假紫苏 野海棠
紫革耳 　　 光革耳 蘑菇
剑叶玉簪 　　剑叶玉簪
西王母四童散 　　王母四童散 龟台王母四童散
大尊重丸 　　 大尊重丸
干地黄 　　地髓
附子摩头散 　　 摩顶散
牛膝 　　 牛磕膝
鲎壳 　　 鲎鱼壳 鲎甲
紫薇叶 　　入惊儿树 百日红 满堂红 痒痒树
荞麦 　　 甜荞 乌麦 三角麦
老君须 　　 龙胆白前
凉三七 　　路党参
白叶藤 　　 铁边 蜈蚣草 篱尾蛇 藤羊角扭 母乳藤 对面笑 红藤仔 鸟仔藤 淋汁藤 飞杨藤 牛蹄藤 脱皮藤 扛棺回
云南荚蒾根 　　 黄香根
蔊菜 　　 辣米菜 野油菜 塘葛菜 干油菜 石豇豆 鸡肉菜 田葛菜 江剪刀草 野雪里蕻 野芥草 野菜花 山芥菜 独根菜 山萝卜 金丝荚
蔊菜 　　野菜子 铁菜子 野油菜 干油菜 山芥菜 地豇豆 绿豆草
茨菇草 　　催生草 灵芝草
芜菁 　　蔓菁 诸葛菜 圆菜头 圆根 盘菜 苤蓝
大效洗轮散 　　 大效洗轮散
斑蝥 　　斑蚝 花斑毛 斑猫 芫青 花壳虫 章瓦 黄豆虫
九蒸苍术散 　　 九蒸苍术散
草果 　　草果仁 草果子
木蹄 　　又称木蹄
九仙灵应散 　　九品扶阳散
儿枕散 　　 儿枕散
甜根子草 　　割手密
大麦 　　牟麦 饭麦 赤膊麦
远志 　　小草 细草 小鸡腿 细叶远志 线茶
五邪汤 　　 禹余粮饮
铁落 　　生铁洛 铁液 铁屎 铁屑 铁花 铁蛾
单花山竹子 　　 山竹子
乌贼鱼骨散 　　 乌贼鱼骨散
大理菊 　　大理花 天竺牡丹 东洋菊 大丽菊 地瓜花 菊科
蝮蛇骨 　　土公蛇 草上飞
山葡萄 　　 鸟葡萄 野葡萄 山浮桃 鸟嘴萄 破布藤 山菩提
黄裙竹荪 　　 杂色竹荪 网纱菇
枸橘叶 　　 铁篱寨 臭橘 枸橘李 枳 臭杞 臭橘叶
二母汤 　　 二母散
九味香附丸 　　 调经香附丸
大瓦韦膜叶星蕨 　　 大风草 爬山姜 断骨粘 宝剑草 光石韦 大石韦 岩姜七 鸡足莲 大叶包针
桑霜 　　 木硇
象头花 　　 红南星 母猪半夏 大半夏 独叶半夏 小独脚莲 岩芋 红半夏 山半夏 红南星 大半夏 狗爪南星 岩半夏 野芋头 南星 野磨芋 三不跳
陆英 　　 接骨草 臭草 走马风 七叶根 七叶麻 蒴藋 走马前 八棱麻 八里麻 臭草 苛草 七叶金 蒴藋 接骨草 排风藤 铁篱笆 臭草 苛草 英雄草 走马箭 排风草 八棱麻 大臭草 七叶麻 马鞭三七 落得打 珍珠连 秧心草 乌鸡腿 小接骨丹 水马桑 水椿皮 七爪阳姜 屎缸杖 掌落根 散血椒 梭草 七叶莲 七叶黄香
大草乌头丸 　　乌头丸
线叶金鸡菊 　　波斯菊科名菊科
漆姑草 　　 瓜槌草 珍珠草 星宿草 日本漆姑草 腺漆姑草
紫金龙 　　 串枝莲 黑牛膝 川山七 豌豆跌打 大麻药 豌豆七 野豌豆
灯台树 　　瑞木 女儿木 六角树
冬葵根 　　葵根 土黄耆
长春花 　　金盏草 四时春 日日新 雁头红 三万花
丁附治中汤 　　 丁附治中汤
榆耳 　　 榆檽 榆磨 射脉菌
一把蔑 　　 拔 茏葛 龙尾 虎葛 五叶莓 笼草 乌蔹草 五叶藤 五爪龙 五爪龙草 赤葛 赤泼藤 五龙草 五爪龙藤 母猪藤 五叶茑 血五甲 过山龙 猪婆藤 五爪藤 鸡丝藤 五爪金龙 小母猪藤 地老鼠 铁散仙 酸甲藤 五甲藤 钦称陀 五将草 过江龙 地五加 野葡萄藤 老鸦眼睛藤 老鸦藤 黄眼藤 止血藤 五爪绒
赤地榆 　　隔山消 赤地榆 以根
石蒜 　　死人花
山胡椒 　　牛筋树 假死柴 野胡椒 香叶子
蜜桶花 　　 猫花 蜂糖花 蜂糖罐 野连翘 叶上花 蜂蜜果 铁林杆
分心木 　　隔心木
牛舌癀 　　长叶紫珠
芫花根 　　 黄大戟 蜀桑 金腰带 铁牛皮
安胎药 　　 骨筋草 吓唬草
荜茇 　　 毕勃 荜茇 荜菝
地牯牛 　　草食蚕 宝塔菜 神虫菜
银锁匙 　　 黑皮蛇 百解 金线风 假山豆根 粉叶轮环藤 毛叶轮环藤
银锁匙 　　黑皮蛇 百解 金线风 假山豆根 毛叶轮环藤
柳絮 　　 柳实 柳子
酢浆草 　　 酸味草 鸠酸 酸醋酱
盲肠草 　　 三叶鬼针草 四方枝 虾钳草 蟹钳草 对叉草 粘人草 粘连子 一包针 引线包 豆渣草 豆渣菜 盲肠草 王八叉 小狗叉 鬼钗草  鬼黄花 山东老鸦草
夺命丹 　　 飞天蜈蚣
蜂药 　　翠云草 翠羽草 石打穿 水梭罗 家昌金 小爬岩草 地虱子 风轮草
阿魏侧耳 　　  阿魏蘑菇
黄芫花 　　 绛州芫花 北芫花 黄闷头花 叩皮花 痒眼花
岩陀 　　 毛青红 九叶岩陀 毛七 毛头三七 血三七
蛇葡萄根 　　山葡萄根  野葡萄根 见肿消 梦中消 外红消
烧伤藤 　　 节节藤
香艾 　　 萧茅 冰台 遏草 香艾 蕲艾 艾萧 艾蒿 艾蒿 蓬藁 艾 灸草 医草 黄草 艾绒
儿茶五倍散 　　 儿茶五倍散
白云花根 　　法罗海 滇独活 毛爪参 香白芷云南
地榆 　　黄爪香 玉札 玉豉 酸赭
雪茶 　　地茶 太白茶 地雪茶
珍珠草 　　  珠仔草 假油甘 潮汕 龙珠草 企枝叶下珠 碧凉草
地黄花粥 　　苄 音户  地髓
地黄花粥 　　熟地 生地黄
败酱 　　黄花龙牙
 黄花苦菜 苦菜 山芝麻 麻鸡婆 将军草 野黄花 野芹
野香茅 　　香茅 香茅草
枫香树根 　　枫果根 杜东根
八味茴香丸 　　治疝茴香丸
白花蛇舌草 　　 蛇舌草 蛇舌癀 蛇针草 蛇总管 二叶葎 白花十字草 尖刀草 甲猛草 龙舌草 蛇脷草 鹤舌草
毛草龙 　　 草里金钗 草龙 水丁香 针筒刺 水龙 水秧草 扫锅草
山蜡梅 　　 臭蜡梅 岩马桑 铁筷子 秋蜡梅 毛山茶 小坝王 亮叶腊梅 香风茶 野蜡梅 雪里花 鸡卵果
丝毛毛毡草 　　 丝毛艾纳香 丝毛毛毡草
发菜 　　仙菜 净池毛
桂枝 　　 柳桂
蜈蚣萍 　　 槐叶萍
蜈蚣萍 　　 麻薸 边箕萍 长脚浮薸 百脚水草 水蜈蚣 大鱼萍 马萍 水百脚 水舌头草 槐瓢 大浮萍 包田麻 槐叶草
螃蟹甲 　　 露木尔
螃蟹甲 　　 藏糙苏
黄根 　　花狗骨木 白狗骨 黑根子
肥皂荚 　　肉皂荚 四月红 油皂
八味生姜煎 　　生姜煎
苦檀子 　　苦蚕子 冲天子
鸡蛋花 　　缅栀子 蛋黄花 印度素馨 大季花
红酸七 　　 油点草 白七 竹叶七 牛尾参
赤楠 　　 牛金子
合萌根 　　田皂角 水松柏 水槐子 水通草
金爪儿 　　五星黄 爬地黄
见血飞 　　 麻药
枇杷叶 　　 杷叶 芦桔叶 巴叶
补心丹 　　干归 马尾当归 秦哪 马尾归 云归 西当归 岷当归 归肝
枇杷叶 　　 枇杷
艾纳香 　　 大风艾 大毛风 艾纳香冰片艾 家风艾 大毛药 大艾
九层风 　　川牛膝 苋菜藤 地苓苋
白辣蓼 　　 蓼子草 马蓼 假长尾叶蓼 假长尾蓼 山蓼
大苞芹 　　 大天胡荽 双叉草 山荷叶
八效虎骨散 　　虎骨散 大效虎骨散
杜松 　　 杜松 刚桧 崩松 棒儿松 软叶杜松
白毛藤 　　蜀羊泉 谷菜 天灯笼 排风 胡毛藤
水芹 　　水英 细本山芹菜 牛草 楚葵 刀芹 蜀芹 野芹菜等
野芫荽 　　 假芫荽 节节花 野香草 假香荽 缅芫荽 香菜 阿佤芫荽
地黄饮子 　　地黄饮
芫青 　　 芫青 青娘子 青娘虫 相思虫 青虫
石黄连 　　 地柏芝 石黄连 牛毛七(四川筠连
麦瓶草 　　 净瓶 米瓦罐
杨树花 　　梧树芒 杨树吊
黄荆子 　　布荆子 黄金子 五指柑 土常山 黄荆条
三分三 　　 三分七 野箊
刺五加 　　 刺拐棒 坎拐棒子 一百针 老虎潦 五加参 俄国参 西伯利亚人参
南牡蒿 　　 牡蒿 拔拉蒿 黄蒿 一枝蒿 米蒿
三分三 　　 七厘散
变叶榕 　　 斑榕 牛奶仔 奶汁柴 椿云仔 常绿天仙果 山榕 芷葛 中乳树 细叶中乳木 去常木  金不换
水绵 　　 脆水绵
大黄煎丸 　　大黄丸
八角莲叶 　　 鬼臼叶
兔儿伞 　　 七里麻  一把伞
小半夏茯苓汤 　
营实 　　 蔷薇子 野蔷薇子 石珊瑚
马鬃参 　　  补草根 小白锦
了哥王 　　 南岭荛花 地棉皮 山棉皮 黄皮子 地棉根 山豆了 小金腰带 桐皮子 哥春光 雀儿麻
了哥王 　　 如下 九信菜 鸡子麻 山黄皮 鸡杧头 南岭荛花 蒲仑 大黄头树 地棉麻树 桐皮子 山雁皮 了哥麻 消山药 铺银草 雀儿麻 鸡儿苦 铁乌散 山石榴 千年矮 乌子麻 地巴麻 山棉皮 火索木 毒鱼藤 曝牙郎 熟薯 假黄皮 山六麻 山豆了 铁骨伞 狗颈树 鸡断肠 山麻 山之一 白棉儿 野麻朴 山络麻 小叶金腰带 石谷皮 金腰带 红灯笼 鬼辣椒
鸡嗉子果 　　 如 山覆盆 野荔枝 山荔枝 山枇杷果
小九头狮子草 　　绣球藤
盘羊角 　　 大角羊 羱羊 盘角子
玄胡丸 　　玄胡索丸
花椒 　　 檓 大椒 秦椒 蜀椒 川椒 山椒
铁牛钻石 　　 钻石风 石钻子 青木香
壁钱 　　 壁镜 壁虫 壁蟢
水麻 　　  柳莓  比满 沟边木 假密蒙 折骨藤 水细麻 水玄麻
壁钱 　　 壁镜 壁虫 壁蟢
还阳参 　　 天竺参 万丈深 竹叶青 独花蒲公英
蛇百子 　　 逼死蛇 毛老虎 黄黄草 大还魂 假藿香 山薄荷 毛射香 药黄草
柴胡 　　地熏 山菜 菇草 柴草
苦参实 　　 老鸦胆 苦榛子 苦参子 鸦蛋子 鸭蛋子 鸭胆子 解苦楝 小苦楝
干脂膏 　　 干脂膏
芸香草 　　韭叶芸香草 诸葛草 香茅筋骨草 小香茅草
芸香草 　　芸窗 芸馆
燕麦灵 　　 巴尔板
紫堇 　　楚葵 蜀堇 苔菜 水卜菜
雀梅藤 　　对节疤 刺杨梅
多穗蓼 　　 辣蓼 水蓼 恣恣萨曾
鹿药 　　九层楼 盘龙七 偏头七 螃蟹七 白窝儿七 狮子七 山糜子
女贞子 　　女贞实 冬青子 蜡树 鼠梓子
山慈菇 　　还有金灯 朱姑 鹿蹄草 无义草
水照丸 　　神仙照水膏
榠樝 　　 光皮木瓜 土木瓜 木李 蛮樝 瘙樝 木梨 海棠
乌鸡骟 　　 陕西假密网蕨 通淋药
大乌金草 　　 毛乌金 乌花草 土细辛 水细辛 大细辛 白三百棒
九宝丸 　　 九宝丸
山茵陈散 　　 山茵陈散
水田七 　　 水三七 土三七
午香草 　　香附草
水冬瓜 　　 水冬瓜树 水青风 桤蒿  为桦木科 桤木属植物
兑金丸 　　有黄食石 熏黄 黄金石 石黄 天阳石 黄石 鸡冠石
兑金丸 　　甜草根 红甘草 粉甘草 美草 密甘 密草 国老 粉草 甜草 甜根子 棒草
火焰草 　　 红瓦松 狗牙风
山蓟汤 　　 山蓟汤
小建脾散 　　 小建脾散
老头草 　　火绒草
山苦荬 　　 苦菜 节托莲 小苦麦菜 苦叶苗 败酱 苦麻菜 黄鼠草 小苦苣 活血草 陷血丹 小苦荬 苦丁菜 苦碟子 光叶苦荬菜 燕儿衣 败酱草
山苦荬 　　苏败酱
黄鼠肉 　　达乌尔黄鼠 蒙古黄鼠 草原黄鼠 大眼贼 豆鼠子 禾鼠
土瓜根丸 　　 土瓜根丸
凤仙花 　　 指甲花 急性子 凤仙透骨草
凤仙花 　　拦头凤仙
红花鹅掌柴 　　七叶莲 当遁
赤麻 　　  线麻
小已寒丸 　　强中丸
全叶青兰 　　 马尔赞居西 天山青兰
马桑叶 　　有马桑 醉鱼草 鱼尾草 扶桑 闹鱼儿 蛤蟆树 上天梯 蓝蛇风
白鱼 　　 翘嘴红舶 娇鱼 白扁鱼 翘咀白 黄白鱼 翘嘴
天蓬草 　　 葶苈子 雀舌草
狗牙根 　　百慕大草 绊根草 爬根草
狗牙根 　　 绊根草 爬根草 感沙草 铁线草
石决明 　　 真海决 耳片壳
黄鲴鱼 　　 黄姑 黄骨鱼
红三七 　　 扭子七
桑蠹虫 　　 蝤蛴 蝎 桑蠹 桑蝎 桑虫 蛀虫 桑蚕 铁炮虫 老母虫
木麻黄 　　 马尾树
毛蜂子 　　茅草箭 透骨风 结壮飘拂草 以根
毛冬瓜根 　　 毛花杨桃根
当归 　　干归 秦哪 西当归 岷当归 金当归 当归身 涵归尾 当归曲 土当归
八神汤 　　姜曲汤
霸王鞭 　　根细腊 克楞
蔓荆子 　　 蔓荆实 荆子 万荆子 蔓青子 蔓荆 白背木耳 小刀豆藤 白背风 白背草
铁蚂蟥 　　尖刀如意散 山苏花 七星剑 老鹰七
菊花叶 　　 菊花叶 四季菊 野菊花叶
猫人参 　　 猫气藤 沙梨藤 糯米饭藤
木槿花 　　白槿花 榈树花 大碗花 篱障花 清明篱 白饭花 鸡肉花 猪油花 朝开暮落花
香堇菜 　　 距堇菜 丛生三色堇 角堇原
锅铲叶 　　 龙球果 闹蛆叶 老鼠铃
八仙红玉膏 　　八仙膏
青金饼 　　 青金饼
羊角参 　　甘肃黄精 臭儿参 野白芨
丁香芦荟丸 　　 丁香芦荟丸
虾子花 　　 吴福花
小当归丸 　　 小当归丸
铁杆地柏枝 　　 地柏枝 一柱香
牡荆叶 　　 黄荆柴 黄荆条 荆条棵 五指柑
八物肾气丸 　　八味丸
穿山龙 　　穿龙薯蓣 野山药 串地龙 地龙骨 鸡骨头 龙萆
锁阳 　　 乌兰高腰 地毛球 羊锁不拉
黄水枝 　　博落 虎耳草 防风七 高脚铜告碑 红棉儿草 虎耳草 黄小枝 水黄连 水前胡 野毛棉花 掌叶天青地红 紫背金钱 阿狗莫 薄落
炮仗花 　　 黄鳝藤
大枣膏 　　 大枣膏
蒴莲 　　 猪笼藤
石吊兰 　　 黑乌骨 石豇豆 石泽兰 小泽兰 岩豇豆 岩石茶 岩泽兰 岩石兰 巴岩草 肺红草 瓜子草 石花 产后茶 山泽兰 石三七 石虎 岩参  员兰 地楷杷
青蒿饮子 　　 青蒿饮子
金樱子丸 　　 金樱子丸
威灵仙 　　 铁脚威灵仙 百条根 老虎须 铁扫帚 能消 灵仙 黑脚威灵仙 黑骨头
肉苁蓉 　　疆芸 寸芸 苁蓉 查干告亚
大风丹 　　 大风丹
罗汉果 　　拉汗果 假苦瓜 光果木鳖 金不换 罗汉表 裸龟巴
羌活 　　羌青 护羌使者 胡王使者 羌滑 退风使者 黑药
薯莨 　　赭魁 薯良 鸡血莲 血母 朱砂七 红药子 金花果 红孩儿 孩儿血 牛血莲 染布薯
还亮草 　　鱼灯苏 毛茛科翠雀属一年生草本
天泡子 　　 打拍草 灯笼草 灯笼儿 灯笼果 灯笼花 灯笼棵 灯笼稞 灯笼泡 斗-姑娘 斗一姑娘 端浆果 戈力 姑娘 姑娘菜 姑娘儿 挂红灯 挂金灯 挂金灯酸浆 桂金灯 寒浆 红灯笼 红灯笼泡 红姑娘 红姑娘子 红娘 红娘娘 红娘子 浆水罐罐 金灯 金灯草 金灯笼 锦灯笼 苦姑娘 苦浆 洛神珠 毛酸浆 排力 泡泡草 山大椒 珊珠 酸灯 酸浆 酸浆草 天灯笼 天泡 天泡草 天泡果 天泡子 洋姑娘 野胡椒 野辣子 葴
小柿子叶 　　 黑面叶
大八宝丹 　　 大八宝丹
千金衔化丸 　　 千金衔化丸
珍珠菜 　　珍珠花菜 白花蒿 香菜 角菜 扯根菜 虎尾
珍珠菜 　　红丝毛 过路红 阉鸡尾 活血莲 红根草 红梗草 赤脚草 狼尾巴花 狼尾珍珠菜鸭脚菜 白花蒿
毛柴胡 　　枪刀菜 毛牛耳大黄
青霞散 　　 青霞散
沉香内消丸 　　 蜜香 栈香 沉水香
小麦煎汤 　　 小麦煎汤
沉香内消丸 　　 蜜香  沉水香
沉香内消丸 　　 蜜香 青木香 五香 五木香 南木香 广木香
草蜘蛛 　　花蜘蛛 草蛛 迷路漏斗草蛛
鸡爪乌 　　 康定翠雀花
十三太保 　　 十样锦 剑兰 菖兰 荸荠莲
毛叶白粉藤 　　 苔郎藤 左爬藤 葫芦叶 左边藤 粗壳藤 红背丝绸 白背丝绸
李子 　　嘉庆子 布霖 李子 玉皇李 山李子
入地蜈蚣 　　 蜈蚣草 水娱蚣 倒地蜈蚣 蜈蚣草 倒麒麟 地蜈蚣 过路蜈蚣
百解藤 　　金线风 凉粉藤 寄山龙 山豆根 青藤仔 蛤仔藤 金锁匙 独脚乌柏
百解藤 　　 金线风 银锁匙
应痛乳香丸 　　有甜草根 红甘草 粉甘草 美草 密甘 密草 甘草国老 粉草 甜草 甜根子 棒草
满天星 　　 锥花丝石竹 圆锥花丝石竹 丝石竹 锥花霞草 满天星
白芥子 　　辣菜子
单花芥 　　无茎芥 高山辣根菜 高山无茎芥
紫河车 　　 胎盘 胎衣 胎胞 胞衣 人胞 京河车 杜河车
郁李仁 　　 山梅子 小李仁
拓痔大豆帛方 　　 大豆帛方
还魂汤 　　还魂草 姜汤 还魂汤
大枣七味汤 　　 大枣七味汤
扛板归 　　  刺犁头 老虎利 老虎刺 犁尖草 三角盐酸 贯叶蓼 犁壁刺 山荞麦 退血草 犁壁藤 老虎艽 蛇不过 蛇倒退 河白草 退西草
灯蛾 　　 飞蛾 火花 慕光 扑灯蛾
八珍汤 　　八珍散
小补髓汤 　　 小补髓汤
通草 　　寇脱 离南 活莌 倚商 花草
大沉香降气汤 　　 大沉香降气汤
金钱草 　　 过路黄 镜面草 翠屏草 荷苞草 肉馄饨草 金锁匙 连钱草 对座草 叶金钱草 钱叶草 钱芊金
白苏叶 　　 荏叶
金钱草 　　 神仙对坐草 地蜈蚣 蜈蚣草 铜钱草 野花生 仙人对坐草 四川大金钱草 大金钱草 对坐草 一串钱 临时救 黄疸草 一面锣 金钱肺筋草 藤藤侧耳根 白侧耳根 铜钱花 水侧耳根 大连钱草 遍地黄 黄花过路草 龙鳞片 真金草 走游草 铺地莲全草供
大蒜膏 　　 大蒜膏
大通丸 　　 大通丸
毛叶小寒药 　　 躲蛇生 避蛇灵 朱砂灵 躲蛇草 背蛇生 小南木香 岩蚌壳
假蒟子 　　假蒟果穗 钻骨风果
地梢瓜 　　 地梢花 女青 羊角 奶瓜
地梢瓜 　　 地梢花 女青
冬虫夏草酒 　　神草 地精 天狗 王精 孩儿参 人衔 黄参
牛泷草 　　 露珠草 心叶露珠草
水龙胆草根 　　 食疙瘩
血参 　　红根 紫丹参 血参根等
牛耳岩白菜 　　 呆白菜 矮白菜 石三七 石虎耳 岩青菜 金山岩白菜 猫耳朵 岩白菜
苦蘵 　　黄花龙牙
 黄花苦菜 苦菜 山芝麻 麻鸡婆 将军草 野黄花 野芹
钩吻 　　野葛 胡蔓藤 断肠草 朝阳草等 小枝圆柱形 幼时具纵棱
玉粉丹 　　 玉粉丹
益母草花 　　茺蔚花
盐肤木根 　　 盐麸子根 文蛤根 五倍根 泡木根 耳八蜈蚣 五倍子根
颠茄草 　　 美女草 别拉多娜草
鹿茸草 　　 千年艾 千重塔  瓶儿蜈蚣草 山门穹   千层矮 龙须草 白路箕 毛茵陈 白丝草 土茵陈
鸡毛菜 　　 白菜 青菜 油菜
地黄粥 　　生地黄粥 生地粥
巴戟浸酒 　　巴戟天酒
山药面 　　薯预 白若 大薯 淮山
栀子 　　 黄栀子 山栀 白蟾
金缕梅 　　木里香 牛踏果
水翁花 　　水香 酒翁 土槿皮
洋金花 　　闹洋花 凤茄花 风茄花 曼陀罗花
西红柿 　　西红柿 洋柿子
大靛根 　　 槐蓝 大蓝 大蓝青
牵牛子 　　 黑丑 白丑 二丑 喇叭花 姜姜籽 牵牛 朝颜花
虉草 　　草芦
瓠子 　　 甘瓠 甜瓠 瓠瓜 净街槌 龙密瓜 天瓜 长瓠 扁蒲
燕麦草 　　 大蟹钓 银边草
枫柳皮 　　枫杨皮
香叶 　　香叶 香桂叶 桂叶 天竺桂
白薇 　　 薇草 知微老 老瓜瓢根 山烟根子 百荡草 白马薇 白前 老君须
白薇 　　老君须 竹灵消 婆婆针线包
蛇地钱 　　 地皮斑 石皮斑 云斑 一团云 小叶蛇地钱 蛇皮苔
小柴胡加防风汤 　　 小柴胡加防风汤
立胜散 　　 立胜煎
石床 　　乳床 逆石 石笋 温肾壮骨药
浮海石 　　 石花 浮石 海浮石 山东  浮水石 广东  水泡石 海浮石 浮水石 羊肝石 浮海石
全叶马兰 　　 全叶鸡儿肠
丁香树皮 　　丁皮 丁香皮
酸藤木 　　 白背酸藤 通天霸 炮子藤  陆川本草   透地龙
鸡蛋油 　　沙木
小风引汤 　　风引汤
丁香蓼 　　 小石榴树 小石榴叶 小疗药
鸭舌鱼鳖 　　 苍条鱼鳖 卧龙草 马牙齿 三百棒 石豇豆 回阳生 金扁担 金挖耳 手指背 石菜叶
骨碎补 　　 崖姜 岩连姜 爬岩姜 肉碎补 石碎补 飞天鼠 牛飞龙 飞来风 飞蛾草
八味厚朴丸 　　厚朴丸
斑鸠 　　 红鸠 红迦追
梧桐白皮 　　青桐 桐麻
梧桐白皮 　　梧桐皮
苏青丸 　　 苏青丸
白玉露 　　 白玉霜药酒
独一味 　　 大巴 打布巴
卵叶鳞始蕨 　　 卵叶双唇蕨
小青木香丸 　　 小青木香丸
乌须种子方 　　 乌须种子方
野厚朴 　　 蛇尾树 景东  豇豆树 麻栗坡  土厚朴 云南  滇菜豆树
大砂仁 　　 土砂仁 牛牯缩砂 波罗砂
蝮蛇 　　土公蛇 土屁股 草上飞 七寸子 土公公
海螺 　　 瓷螺 交螺 海窝窝
雅丽千金藤 　　 雅致千金藤 山豆根 小山豆根 千金藤
毡盖木耳 　　 肠膜木耳 肠膜状木耳 牛皮木耳同物
红果冬青 　　野由蜡叶 红珊瑚冬青 珊瑚冬青冬青科冬青属
鸭跖草 　　碧竹子 翠蝴蝶 淡竹叶
小黑膏 　　小黑散
角螺 　　 响螺 号螺 海螺
木槿子 　　朝天子 川槿子 槿树子木槿果
牛心果 　　牛心梨
五加叶 　　五加蕻
茜草藤 　　蒨草 血见愁 地苏木 活血丹 土丹参 红内消
蒺藜苗 　　 蒺藜蔓
太乙流金方 　　太一流金散 雄黄散 流金散
越南樟皮 　　 木樟 乌樟 芳樟树 番樟 香蕊 樟木子
龙麝追毒丹 　　龙麝迫毒散  普济方
扁青 　　 白青 碧青 鱼目青 石青 大青
化香树果 　　化香树球 化香果
乌骨藤 　　通关藤 通关散 确络风 牛耳风 火索藤 大叶酒饼藤
白糯丸 　　 白糯丸
乌骨藤 　　 乌骨藤 奶浆藤 通关散
八风丹 　　八风丸
甘草干姜茯苓白术汤 　　肾著汤
相思藤 　　土甘草 山甘草
鹅肠菜 　　 牛繁缕 鹅肠草 石灰菜 大鹅儿肠 鹅儿肠
夏至草 　　小益母草
止泻如神丸 　　如神止泻丸
金橘核 　　 金橘子  闽东本草
八物麦门冬饮 　　麦门冬散
冰草 　　 多花冰草 光穗冰草
大和中饮 　　 大和中饮
翼梗獐牙菜 　　 四棱草
荩草 　　绿竹
海参内脏 　　海参肠 为刺参 绿刺参 花刺参
血分椒仁丸 　　 血分丸
吴茱萸 　　吴萸 茶辣 漆辣子 臭辣子树 左力纯幽子 米辣子等
漏芦 　　 野兰 鬼油麻 狼头花
倒生莲 　　倒水莲 花老鼠 尾生根 石上凤尾草 金鸡尾 盘龙莲 仙人架桥 定草根 刷把草 青丝还阳 姜公久鱼
牦牛角 　　有牦牛 旄牛 犣牛 毛犀 猫牛 竹牛 毛牛
川芎和解散 　　 川芎和解散
毛脉柳叶菜 　　 黑龙江柳叶菜
助脾煎 　　 助脾煎
月桂叶 　　香叶 香桂叶 桂叶 天竺桂
空青 　　杨梅青
芦根 　　 芦茅根 苇根 芦头 芦柴根 芦菇根 顺江龙 水蓈蔃 芦通 苇子根 芦芽根 甜梗子
小沉麝煎丸 　　 小沉麝煎丸
鹿梨 　　鹿梨 棠梨 野梨 鸟梨
合欢皮 　　合昏皮 夜台皮 合欢木皮
黄连 　　 味连 川连 鸡爪连
无碍丸 　　 无碍丸
铁筷子 　　九牛七 双铃草 小山桃儿七 小桃儿七 鸳鸯七 冰凉花 嚏根草
青刺尖 　　 炮筒果 牛奶捶 鸡蛋糕 梅花刺 枪子果 打枪果 阿那斯 狗奶子 蒙自扁核木
阿魏消痞丸 　　 阿魏消痞丸
绳藻 　　海麻线 麻绳菜 海嘎子
甘草 　　 国老 甜草 乌拉尔甘草 甜根子
还元丹 　　不老丹 延年益寿不老丹 延年益嗣丹 延寿不老丹 延年益寿丹
芎附散 　　 芎附散
牛抄藤 　　 长叶海金沙
茱苓草 　　 太白龙胆
醋林子 　　红檬子
